cos_theta_center,cos_theta_det_center,counts,omega
0.0550000000,0.9250000000,0,0.0000000000
0.0550000000,0.9750000000,0,0.0000000000
0.0650000000,0.0250000000,0,0.0000000000
0.0650000000,0.0750000000,0,0.0000000000
0.0650000000,0.1250000000,0,0.0000000000
0.0650000000,0.1750000000,0,0.0000000000
0.0650000000,0.2250000000,0,0.0000000000
0.0650000000,0.2750000000,4185,0.0000837000
0.0650000000,0.3250000000,15548,0.0003109600
0.0650000000,0.3750000000,23534,0.0004706800
0.0650000000,0.4250000000,26190,0.0005238000
0.0650000000,0.4750000000,28260,0.0005652000
0.0650000000,0.5250000000,31903,0.0006380600
0.0650000000,0.5750000000,37665,0.0007533000
0.0650000000,0.6250000000,54027,0.0010805400
0.0650000000,0.6750000000,47823,0.0009564600
0.0650000000,0.7250000000,50491,0.0010098200
0.0650000000,0.7750000000,9073,0.0001814600
0.0650000000,0.8250000000,0,0.0000000000
0.0650000000,0.8750000000,0,0.0000000000
0.0650000000,0.9250000000,0,0.0000000000
0.0650000000,0.9750000000,0,0.0000000000
0.0750000000,0.0250000000,0,0.0000000000
0.0750000000,0.0750000000,0,0.0000000000
0.0750000000,0.1250000000,0,0.0000000000
0.0750000000,0.1750000000,0,0.0000000000
0.0750000000,0.2250000000,0,0.0000000000
0.0750000000,0.2750000000,4023,0.0000804600
0.0750000000,0.3250000000,15545,0.0003109000
0.0750000000,0.3750000000,23044,0.0004608800
0.0750000000,0.4250000000,26017,0.0005203400
0.0750000000,0.4750000000,28262,0.0005652400
0.0750000000,0.5250000000,31869,0.0006373800
0.0750000000,0.5750000000,38063,0.0007612600
0.0750000000,0.6250000000,62528,0.0012505600
0.0750000000,0.6750000000,33046,0.0006609200
0.0750000000,0.7250000000,40188,0.0008037600
0.0750000000,0.7750000000,23721,0.0004744200
0.0750000000,0.8250000000,0,0.0000000000
0.0750000000,0.8750000000,0,0.0000000000
0.0750000000,0.9250000000,0,0.0000000000
0.0750000000,0.9750000000,0,0.0000000000
0.0850000000,0.0250000000,0,0.0000000000
0.0850000000,0.0750000000,0,0.0000000000
0.0850000000,0.1250000000,0,0.0000000000
0.0850000000,0.1750000000,0,0.0000000000
0.0850000000,0.2250000000,0,0.0000000000
0.0850000000,0.2750000000,4088,0.0000817600
0.0850000000,0.3250000000,15662,0.0003132400
0.0850000000,0.3750000000,22960,0.0004592000
0.0850000000,0.4250000000,25944,0.0005188800
0.0850000000,0.4750000000,28706,0.0005741200
0.0850000000,0.5250000000,31915,0.0006383000
0.0850000000,0.5750000000,38947,0.0007789400
0.0850000000,0.6250000000,67150,0.0013430000
0.0850000000,0.6750000000,23014,0.0004602800
0.0850000000,0.7250000000,35675,0.0007135000
0.0850000000,0.7750000000,31518,0.0006303600
0.0850000000,0.8250000000,0,0.0000000000
0.0850000000,0.8750000000,0,0.0000000000
0.0850000000,0.9250000000,0,0.0000000000
0.0850000000,0.9750000000,0,0.0000000000
0.0950000000,0.0250000000,0,0.0000000000
0.0950000000,0.0750000000,0,0.0000000000
0.0950000000,0.1250000000,0,0.0000000000
0.0950000000,0.1750000000,0,0.0000000000
0.0950000000,0.2250000000,0,0.0000000000
