cos_theta_center,cos_theta_det_center,counts,omega
0.0550000000,0.9250000000,0,0.0000000000
0.0550000000,0.9750000000,0,0.0000000000
0.0650000000,0.0250000000,0,0.0000000000
0.0650000000,0.0750000000,0,0.0000000000
0.0650000000,0.1250000000,0,0.0000000000
0.0650000000,0.1750000000,0,0.0000000000
0.0650000000,0.2250000000,955,0.0000191000
0.0650000000,0.2750000000,12540,0.0002508000
0.0650000000,0.3250000000,22556,0.0004511200
0.0650000000,0.3750000000,26919,0.0005383800
0.0650000000,0.4250000000,28455,0.0005691000
0.0650000000,0.4750000000,30817,0.0006163400
0.0650000000,0.5250000000,34729,0.0006945800
0.0650000000,0.5750000000,41172,0.0008234400
0.0650000000,0.6250000000,59276,0.0011855200
0.0650000000,0.6750000000,51450,0.0010290000
0.0650000000,0.7250000000,51643,0.0010328600
0.0650000000,0.7750000000,9179,0.0001835800
0.0650000000,0.8250000000,0,0.0000000000
0.0650000000,0.8750000000,0,0.0000000000
0.0650000000,0.9250000000,0,0.0000000000
0.0650000000,0.9750000000,0,0.0000000000
0.0750000000,0.0250000000,0,0.0000000000
0.0750000000,0.0750000000,0,0.0000000000
0.0750000000,0.1250000000,0,0.0000000000
0.0750000000,0.1750000000,0,0.0000000000
0.0750000000,0.2250000000,978,0.0000195600
0.0750000000,0.2750000000,12650,0.0002530000
0.0750000000,0.3250000000,22964,0.0004592800
0.0750000000,0.3750000000,26645,0.0005329000
0.0750000000,0.4250000000,28487,0.0005697400
0.0750000000,0.4750000000,31253,0.0006250600
0.0750000000,0.5250000000,35221,0.0007044200
0.0750000000,0.5750000000,41949,0.0008389800
0.0750000000,0.6250000000,70730,0.0014146000
0.0750000000,0.6750000000,34689,0.0006937800
0.0750000000,0.7250000000,41116,0.0008223200
0.0750000000,0.7750000000,23927,0.0004785400
0.0750000000,0.8250000000,0,0.0000000000
0.0750000000,0.8750000000,0,0.0000000000
0.0750000000,0.9250000000,0,0.0000000000
0.0750000000,0.9750000000,0,0.0000000000
0.0850000000,0.0250000000,0,0.0000000000
0.0850000000,0.0750000000,0,0.0000000000
0.0850000000,0.1250000000,0,0.0000000000
0.0850000000,0.1750000000,0,0.0000000000
0.0850000000,0.2250000000,1051,0.0000210200
0.0850000000,0.2750000000,12763,0.0002552600
0.0850000000,0.3250000000,22896,0.0004579200
0.0850000000,0.3750000000,26768,0.0005353600
0.0850000000,0.4250000000,29003,0.0005800600
0.0850000000,0.4750000000,31400,0.0006280000
0.0850000000,0.5250000000,35500,0.0007100000
0.0850000000,0.5750000000,42728,0.0008545600
0.0850000000,0.6250000000,75393,0.0015078600
0.0850000000,0.6750000000,23564,0.0004712800
0.0850000000,0.7250000000,36212,0.0007242400
0.0850000000,0.7750000000,32316,0.0006463200
0.0850000000,0.8250000000,0,0.0000000000
0.0850000000,0.8750000000,0,0.0000000000
0.0850000000,0.9250000000,0,0.0000000000
0.0850000000,0.9750000000,0,0.0000000000
0.0950000000,0.0250000000,0,0.0000000000
0.0950000000,0.0750000000,0,0.0000000000
0.0950000000,0.1250000000,0,0.0000000000
0.0950000000,0.1750000000,0,0.0000000000
0.0950000000,0.2250000000,1107,0.0000221400
